,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-06-18 22:43:14+00:00,0,0,0,0,8,0,0,7,0,33,72,34,0,2,60,4,46,0,23,10,12,0,0,5,280,1,0,0,16,1,103,0,25,2,0,1,0
2020-06-17 22:18:41+00:00,0,0,0,0,0,25,0,12,0,50,0,75,0,17,67,2,0,0,18,2,0,1,0,4,155,0,0,12,7,0,56,18,65,1,0,0,0
2020-06-16 23:00:42+00:00,0,0,0,0,8,54,1,6,0,37,0,0,0,19,60,11,23,0,26,0,0,0,0,17,142,0,0,7,10,0,30,0,39,0,0,0,0
2020-06-15 22:50:54+00:00,7,0,0,1,12,0,1,1,0,13,0,40,0,0,17,20,0,0,0,21,0,9,0,1,216,5,10,8,8,0,68,12,103,0,0,0,0
2020-06-14 22:43:41+00:00,15,0,0,1,0,0,0,13,0,13,0,36,0,6,35,73,1,0,17,46,0,3,0,0,68,31,7,6,1,0,16,8,7,0,0,0,0
2020-06-13 22:42:48+00:00,0,0,3,11,8,0,12,2,0,11,10,26,0,12,50,17,21,3,27,42,3,4,0,1,195,9,0,9,1,0,22,0,0,0,0,2,0
2020-06-12 22:44:03+00:00,54,0,0,0,10,0,9,42,0,18,0,28,0,4,65,27,0,0,10,1,0,3,0,6,229,4,3,21,8,0,35,18,28,3,0,1,0
2020-06-11 22:48:24+00:00,0,0,0,7,18,0,0,0,0,28,0,12,0,0,0,47,31,5,9,23,12,4,0,0,345,1,a,48,4,0,36,0,51,0,0,0,0
2020-06-10 22:52:49+00:00,0,0,0,0,10,,0,,0,,0,,0,,,0,0,0,,,0,,0,0,201,,0,,,0,0,,9,0,0,0,0
2020-06-09 22:45:23+00:00,14,0,0,17,69,0,0,11,0,20,49,33,1,0,26,16,15,26,6,16,2,6,0,1,170,,2,108,4,1,11,8,30,0,0,0,0
2020-06-08 22:41:43+00:00,0,0,0,0,,0,0,0,0,,0,,0,0,34,,0,0,,,,0,0,,,0,a,,0,0,,,,0,0,0,0
2020-06-07 22:49:42+00:00,67,0,0,0,5,0,0,8,0,0,0,14,4,0,40,16,9,0,6,2,8,0,0,8,38,8,2,19,2,0,0,2,0,2,0,0,0
2020-06-06 22:38:22+00:00,1,0,0,17,5,0,0,26,0,32,23,23,0,0,50,17,12,8,2,12,2,2,0,0,66,14,1,7,2,0,31,0,24,12,0,0,0
